no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.283, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.285, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.288, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.291, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.294, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.297, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.300, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.303, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.305, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.308, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.311, (priority): 2, (size): 3
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.314, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.317, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.320, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.323, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:45.326, (priority): 2, (size): 100
